player_id,puuid,rank_group,sample_tier,sample_division,sample_league_points,game_name,tag_line,match_id,game_start,queue_id,game_mode,game_duration_min,champion,position,win,kills,deaths,assists,kda,gold,damage_to_champions,damage_taken,vision_score,cs,cs_per_min,game_end,gap_since_previous_game_min,new_session,session_id,game_in_session,continued_session
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7919196302,2026-07-15 12:59:41.388000+00:00,420,CLASSIC,36.43333333333333,Gragas,TOP,True,6,7,5,1.5714285714285714,11875,11475,29426,27,149,4.089661482159196,2026-07-15 13:36:07.387999998+00:00,5.723416666666666,False,6,2,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7920380241,2026-07-16 17:14:42.341000+00:00,420,CLASSIC,1.3166666666666669,Zed,MIDDLE,True,0,0,0,0.0,569,123,484,0,2,1.518987341772152,2026-07-16 17:16:01.341000002+00:00,1658.5825500000333,True,7,1,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7920392868,2026-07-16 17:20:32.183000+00:00,420,CLASSIC,29.1,Zed,MIDDLE,False,3,12,2,0.4166666666666667,9321,6442,23812,18,174,5.979381443298969,2026-07-16 17:49:38.183000+00:00,4.5140333333000005,False,7,2,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7920429091,2026-07-16 17:54:42.274000+00:00,420,CLASSIC,24.05,Yasuo,MIDDLE,False,0,10,4,0.4,5970,10309,22979,17,116,4.823284823284824,2026-07-16 18:18:45.274000+00:00,5.068183333333334,False,7,3,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7920466165,2026-07-16 18:25:19.765000+00:00,420,CLASSIC,17.633333333333333,Jax,TOP,False,2,4,0,0.5,4749,5309,12075,6,71,4.026465028355387,2026-07-16 18:42:57.764999998+00:00,6.57485,False,7,4,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7920955921,2026-07-17 07:13:01.747000+00:00,420,CLASSIC,23.0,Twitch,BOTTOM,True,12,6,6,3.0,13505,30855,22526,11,177,7.695652173913044,2026-07-17 07:36:01.747000+00:00,750.0663666667,True,8,1,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7920988730,2026-07-17 08:50:37.438000+00:00,420,CLASSIC,44.91666666666666,Twitch,MIDDLE,False,20,15,7,1.8,22656,68575,46223,50,286,6.36734693877551,2026-07-17 09:35:32.438000002+00:00,74.59485,True,9,1,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7921200451,2026-07-17 14:15:21.095000+00:00,420,CLASSIC,25.816666666666663,Malphite,TOP,False,0,3,1,0.3333333333333333,6151,6552,11590,16,121,4.686894770819884,2026-07-17 14:41:10.095000002+00:00,279.8109499999666,True,10,1,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7921301014,2026-07-17 15:54:07.285000+00:00,420,CLASSIC,31.2,Caitlyn,BOTTOM,True,6,16,4,0.625,10762,12251,27417,21,128,4.102564102564103,2026-07-17 16:25:19.285000+00:00,72.95316666663332,True,11,1,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7921338298,2026-07-17 16:31:17.256000+00:00,420,CLASSIC,21.716666666666665,Mordekaiser,TOP,False,2,10,0,0.2,6353,7210,25721,14,95,4.374520337682272,2026-07-17 16:53:00.256000002+00:00,5.966183333333333,False,11,2,True
