player_id,puuid,rank_group,tier,division,league_points,wins,losses,game_name,tag_line
30,R5jY9evOwYS6Izh7FKBivzYKv-jZ2BU91HXBN2Nj0vJc6GvoFKIZrZoglvdK4Tjte9wqVgd2aWm4nA,GOLD,GOLD,I,50,4,5,Gustav Mark,EUW
31,tIccoo0qkBKTlLt_9GemUCysybhUVG87M1L1QMlhH5c7yyTjHM_VZfkSpHfi98nXh1kt10oXt7mLzQ,BRONZE,BRONZE,IV,18,11,19,CrazyMortal24,EUW
32,CZZ-pPjAt_CgPYGwsQkxMKqzIk92EMQKgkr4zsC5Q8_7x9KfH3Fq8pnNwp_VnQ4hrr30BCoxmYsdRA,BRONZE,BRONZE,I,2,7,6,KutnaHora,EUW
33,m0Mh33h1Nvhu6Z6JU1E-7D-jf9Vd1kPVeFvWiNrUQR8qPd8ptYN1at7lH2cWbBdzu5ktKRtGzPzuxg,BRONZE,BRONZE,IV,40,3,3,ZMACROVICH,EUW
34,8AUwlTMwMHji0JRToseXdDNodJnSMEV7Y-8rP0h92dJkR48LgnY0XsSPTPGO41W3t8vnjOXW14ylbg,BRONZE,BRONZE,III,76,96,97,Arthèmis,3162
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,144,150,qazx232323,EUW
36,vbOjjYbwO91ZTR42V3rvS_DaJYeTNR6y4O6WuB3FRg3PUZb5z_8pNWWydCCUJyjhzW7h7NAFXQPVTg,BRONZE,BRONZE,II,1,5,3,tyf5,EUW
37,B3YGJXMxthPAPO18vsOXg1WOxfAg-nlzvmp4AyBEUbL-zi4uBfefLrSUTHN_l3-qtQX3Jy-yV84UmA,BRONZE,BRONZE,I,3,8,10,the honored one,Tlili
38,FxMTJKzzCsBY-OzJLSVXx99hh8qY1fGscl7Ugr67SJISoaQLxsVzMtEP1Lc0oJiO3I2_if1R_qHEEg,BRONZE,BRONZE,II,77,51,64,BOB3CK,EUW
39,XO8U_UjMjaC0O7AQ10nO9HO8VFt2Ge1FXBNgUSK8xEr6lt0eW9BostRZYDZ6m6z0embnIOINKCI8_w,BRONZE,BRONZE,IV,10,3,5,Sirje,EUW
40,ypYIVd9QNbjzQ3GGuZsGTb_HbqmXMP9Cc3EGcPA9aj208Fsa-aPPakz5YQ8ul8EWB0mbBRcjrBytWw,BRONZE,BRONZE,II,53,3,9,boughamgham,EUW
